Subject,age,race,race_7_TEXT,maritalstatus,education,yearseducation,english.as.a.first.language,if.not.english.then.what,english.comfort.talk,english.comfort.read,usstate,Children,Children_number,Siblings,Siblings_2_number,Church,Household income,employmentindustry,OverallHealth,BFI.1_1,BFI.1_2,BFI.1_3,BFI.1_4,BFI.1_5,BFI.1_6,BFI.1_7,BFI.1_8,BFI.1_9,BFI.1_10,BFI.2_1,BFI.2_2,BFI.2_3,BFI.2_4,BFI.2_5,BFI.2_6,BFI.2_7,BFI.2_8,BFI.2_9,BFI.2_10,BFI.3_1,BFI.3_2,BFI.3_3,BFI.3_4,BFI.3_5,BFI.3_6,BFI.3_7,BFI.3_8,BFI.3_9,BFI.3_10,BFI.4_1,BFI.4_2,BFI.4_3,BFI.4_4,BFI.4_5,BFI.4_6,BFI.4_7,BFI.4_8,BFI.4_9,BFI.4_10,BFI.5_1,BFI.5_2,BFI.5_3,BFI.5_4,BFI.5_5,BFI.5_6,BFI.5_7,BFI.5_8,BFI.5_9,BFI.5_10,BFI.6_1,BFI.6_2,BFI.6_3,BFI.6_4,BFI.6_5,BFI.6_6,BFI.6_7,BFI.6_8,BFI.6_9,BFI.6_10,BFI_E,BFI_A,BFI_C,BFI_N,BFI_O
116,62,White,,Divorced,"Some college, no degree",13,Yes,,Very comfortable,Very comfortable,California,"Yes, I have ___ children",2,"Yes, I have ___ siblings",2,Yes,"Over $150,000","Management, professional, and related",Very good,5,4,2,4,1,4,5,3,5,5,2,3,5,2,3,2,2,3,2,5,4,3,4,5,2,3,4,3,4,1,2,4,3,2,5,2,4,4,2,2,3,2,4,4,2,4,2,2,4,2,3,5,4,1,1,4,4,4,2,3,46,46,41,21,50
117,66,White,,Married,Professional degree,25,"No, my first language is: __",Russian,Very comfortable,Very comfortable,California,"Yes, I have ___ children",1,"Yes, I have ___ siblings",1,Yes,"$100,000 - $150,000",Unemployed,Fair,4,5,2,3,4,4,4,2,3,4,4,5,5,4,3,4,5,4,4,4,4,5,4,4,3,2,5,4,2,3,4,5,4,5,4,2,4,5,3,4,4,4,5,2,2,4,2,2,2,2,2,3,5,2,3,4,3,2,4,2,42,36,48,42,40
118,60,White,,Single,Master's degree,18,Yes,,Very comfortable,Very comfortable,Wyoming,No,0,"Yes, I have ___ siblings",5,No,"$75,000 - $99,999",Retired,Fair,4,3,2,3,4,2,4,3,4,4,4,3,4,2,3,5,4,4,3,2,2,2,3,4,4,3,4,3,4,3,4,4,4,4,3,4,4,4,2,3,2,4,4,4,2,2,3,1,2,4,4,4,4,2,4,3,3,3,2,3,27,38,45,30,33
119,65,White,,Divorced,Bachelor's degree,16,Yes,,Very comfortable,Very comfortable,Alabama,"Yes, I have ___ children",5,"Yes, I have ___ siblings",1,No,"$100,000 - $150,000","Management, professional, and related",Very good,5,5,1,4,1,4,5,1,5,5,3,1,5,1,5,1,1,5,3,5,4,1,1,5,1,2,5,1,4,1,1,5,5,2,5,2,1,5,1,5,3,3,5,5,1,5,1,1,4,1,1,5,5,1,1,4,3,1,1,5,51,56,60,18,60
120,64,White,,Married,Associate degree,15,Yes,,Very comfortable,Very comfortable,South Carolina,"Yes, I have ___ children",2,"Yes, I have ___ siblings",1,No,"$100,000 - $150,000",Sales and office,Good,4,4,1,3,1,3,4,1,4,4,2,3,4,4,4,4,1,4,4,5,2,2,2,4,2,3,4,2,3,1,2,4,2,2,5,3,2,4,2,4,4,2,4,2,2,4,1,1,2,1,4,4,4,2,2,4,3,3,3,5,39,48,48,35,54
121,55,White,,Married,"Some college, no degree",13,Yes,,Very comfortable,Very comfortable,North Carolina,"Yes, I have ___ children",1,"Yes, I have ___ siblings",2,No,"$35,000 - $49,999","Management, professional, and related",Fair,4,5,5,2,2,2,5,4,4,5,2,4,4,4,4,4,1,2,5,4,2,4,5,4,2,5,4,4,2,2,5,5,1,5,4,2,4,4,4,4,1,4,4,2,1,4,1,2,1,1,5,5,4,5,2,4,5,4,5,4,30,47,31,49,51
122,66,White,,Married,Master's degree,22,Yes,,Very comfortable,Very comfortable,Ohio,"Yes, I have ___ children",7,"Yes, I have ___ siblings",4,Yes,"$35,000 - $49,999",Retired,Very good,3,4,2,5,2,2,4,3,3,5,3,3,5,2,4,5,2,4,3,4,1,1,3,4,4,4,4,3,5,3,5,4,3,3,4,5,3,3,3,3,2,4,4,5,4,1,2,1,4,5,3,5,4,2,4,2,3,2,1,3,22,45,45,24,37
123,75,White,,Married,Master's degree,22,Yes,,Very comfortable,Very comfortable,Florida,"Yes, I have ___ children",1,"Yes, I have ___ siblings",1,No,"$50,000 - $74,999",Retired,Good,5,5,1,5,1,4,5,1,5,5,1,1,1,1,4,4,1,4,1,5,5,1,1,5,1,1,5,1,5,1,1,5,5,1,5,1,1,5,1,5,5,1,5,5,1,5,1,1,5,1,1,5,5,1,1,5,5,1,1,5,56,60,55,12,59
124,65,Asian,,Divorced,Professional degree,24,Yes,,Very comfortable,Very comfortable,Washington,"Yes, I have ___ children",2,"Yes, I have ___ siblings",3,No,"$75,000 - $99,999","Management, professional, and related",Good,4,4,1,5,1,4,5,1,5,5,1,1,5,1,5,2,1,5,1,5,5,1,1,5,1,3,2,1,5,1,1,5,4,1,5,2,1,5,1,5,3,4,5,5,2,3,2,1,5,1,2,5,5,1,1,3,3,1,1,4,47,50,59,12,58
125,65,White,,Widowed,Bachelor's degree,16,Yes,,Very comfortable,Very comfortable,Texas,"Yes, I have ___ children",1,"Yes, I have ___ siblings",3,No,"$35,000 - $49,999",Retired,Very good,5,5,1,5,1,5,5,1,5,5,1,1,5,1,5,1,1,5,1,5,5,1,1,5,1,1,5,1,5,1,1,5,5,1,5,1,1,5,1,5,5,3,5,5,1,5,1,1,5,4,2,5,5,1,1,5,5,1,1,5,59,58,60,12,57
126,62,White,,Married,"Some college, no degree",13,Yes,,Very comfortable,Very comfortable,New York,No,0,"Yes, I have ___ siblings",2,Yes,"$75,000 - $99,999","Production, transportation, and material moving",Good,2,5,1,4,2,1,5,1,4,5,2,1,5,2,5,5,1,5,2,5,3,1,1,5,2,1,5,1,4,1,4,5,5,2,5,2,1,5,2,5,3,2,5,5,1,2,1,1,2,4,4,5,5,2,1,4,5,1,4,5,33,59,60,26,55
127,72,White,,Married,Associate degree,14,Yes,,Very comfortable,Very comfortable,South Carolina,"Yes, I have ___ children",2,"Yes, I have ___ siblings",2,No,"$100,000 - $150,000",Retired,Excellent,5,5,1,5,1,5,5,1,5,5,1,1,5,1,5,1,1,5,1,5,5,1,1,5,1,1,5,1,5,1,1,5,5,1,5,1,1,5,1,5,5,1,5,5,1,5,1,1,5,1,1,5,5,1,1,5,5,1,1,5,60,60,60,12,60
128,62,White,,Separated,Bachelor's degree,16,Yes,,Very comfortable,Very comfortable,New York,"Yes, I have ___ children",2,"Yes, I have ___ siblings",1,No,"Over $150,000",Retired,Good,1,2,1,5,3,5,4,2,4,5,3,4,5,1,5,2,4,5,3,5,5,3,1,5,2,4,1,1,5,3,5,2,5,1,5,1,2,5,2,5,2,4,5,5,1,3,3,1,5,2,2,5,5,2,3,2,3,1,1,5,37,33,59,17,52
129,71,White,,Married,"Some college, no degree",14,Yes,,Very comfortable,Very comfortable,Ohio,"Yes, I have ___ children",3,"Yes, I have ___ siblings",1,No,"$50,000 - $74,999",Retired,Very good,4,5,1,5,2,2,5,1,5,,1,1,5,1,4,3,1,5,2,4,2,1,1,5,1,1,4,1,5,4,2,5,5,1,4,4,1,5,1,4,5,4,5,5,1,3,,1,4,1,4,5,5,1,1,4,2,1,1,4,41,48,60,14,46
130,64,White,,Married,Master's degree,17,Yes,,Very comfortable,Very comfortable,Illinois,"Yes, I have ___ children",4,"Yes, I have ___ siblings",2,Yes,"$100,000 - $150,000","Construction, extraction, and maintenance",Very good,2,5,1,4,1,2,5,1,4,5,2,2,5,1,4,5,1,5,2,5,2,1,1,5,1,1,5,1,5,1,5,5,5,2,5,4,2,5,1,5,5,2,5,5,2,2,2,1,2,1,5,5,5,2,1,4,5,1,1,4,31,56,60,20,57
131,61,White,,Married,Master's degree,18,Yes,,Very comfortable,Very comfortable,Georgia,"Yes, I have ___ children",1,"Yes, I have ___ siblings",3,No,"$75,000 - $99,999",Retired,Very good,2,4,1,4,2,3,4,1,4,4,2,4,5,2,4,5,2,4,2,4,4,1,2,4,4,2,4,2,5,2,4,4,4,3,4,3,4,4,2,3,2,2,4,4,2,2,2,2,4,2,3,4,4,1,2,2,4,2,2,4,32,45,51,23,45
132,64,White,,Married,Associate degree,14,Yes,,Very comfortable,Very comfortable,Georgia,"Yes, I have ___ children",2,"Yes, I have ___ siblings",2,No,"$50,000 - $74,999",Service,Fair,4,5,1,4,3,3,5,1,4,4,2,1,5,1,3,3,1,3,1,2,4,1,1,5,2,2,5,1,5,3,3,5,4,1,3,2,1,4,1,3,4,3,5,4,1,4,1,1,4,2,3,5,5,1,2,4,5,2,2,3,44,58,55,17,41
133,68,White,,Divorced,High school degree or equivalent,12,Yes,,Very comfortable,Very comfortable,Florida,No,0,No,0,No,"$35,000 - $49,999",Service,Very good,2,5,1,4,1,1,5,2,3,5,,,,,,,,,,,5,1,4,4,1,1,3,3,3,1,5,4,5,4,5,3,1,4,5,5,4,3,5,5,1,2,3,1,3,1,4,5,4,5,2,3,4,3,4,5,28,42,40,32,49
134,72,White,,Divorced,Master's degree,20,Yes,,Very comfortable,Very comfortable,California,"Yes, I have ___ children",1,"Yes, I have ___ siblings",1,No,"$35,000 - $49,999",Retired,Very good,1,4,2,3,3,2,4,2,4,4,2,3,4,2,3,5,2,4,4,3,1,2,2,4,3,2,4,3,3,4,5,4,4,4,4,4,4,4,2,3,4,2,4,3,3,1,2,2,3,2,4,4,4,2,2,4,4,2,2,2,27,45,47,32,38
135,61,White,,Married,High school degree or equivalent,12,Yes,,Very comfortable,Very comfortable,Texas,"Yes, I have ___ children",1,"Yes, I have ___ siblings",3,No,"$20,000 - $34,999",Sales and office,Very good,4,5,1,4,2,4,5,1,5,3,1,1,5,1,4,2,1,4,1,4,4,1,1,5,4,2,3,1,5,2,2,4,5,1,4,2,1,5,1,2,4,5,5,5,2,4,1,1,4,4,2,5,4,1,1,4,2,1,1,3,49,50,58,14,41
136,86,White,,Married,Bachelor's degree,16,Yes,,Very comfortable,Very comfortable,North Carolina,"Yes, I have ___ children",1,"Yes, I have ___ siblings",2,No,"$100,000 - $150,000",Service,Very good,5,4,1,4,1,4,5,1,4,5,1,1,2,2,5,2,4,5,1,4,5,2,1,4,5,2,5,2,4,2,1,5,5,2,4,1,2,5,2,4,5,1,5,4,1,4,1,2,2,1,1,4,5,1,2,5,4,1,2,5,56,52,55,24,51
137,47,White,,Divorced,Bachelor's degree,20,Yes,,Very comfortable,Very comfortable,Illinois,"Yes, I have ___ children",1,"Yes, I have ___ siblings",0,No,"$50,000 - $74,999",Retired,Good,4,5,1,4,1,4,5,2,4,5,2,4,5,2,4,4,2,4,2,5,4,4,4,5,1,4,4,2,2,1,2,4,2,2,5,2,2,4,1,4,2,2,5,4,1,4,2,2,2,1,2,5,5,2,2,4,5,2,2,5,42,48,48,26,57
138,60,Black or African American,,Married,Bachelor's degree,14,Yes,,Very comfortable,Very comfortable,North Carolina,"Yes, I have ___ children",2,"Yes, I have ___ siblings",2,Yes,"$50,000 - $74,999",Sales and office,Excellent,4,4,1,4,1,4,5,1,5,3,4,1,5,1,4,4,1,5,1,4,5,1,1,4,1,1,5,1,5,4,4,5,5,1,5,1,1,5,1,4,5,4,5,5,1,1,4,1,1,1,5,5,5,1,1,4,5,1,1,5,40,53,60,18,52
139,39,White,,Married,High school degree or equivalent,12,Yes,,Very comfortable,Very comfortable,Wisconsin,"Yes, I have ___ children",2,"Yes, I have ___ siblings",2,Yes,"$75,000 - $99,999",Service,Very good,4,4,2,4,4,4,4,2,4,4,4,3,4,2,3,2,3,4,2,2,4,3,2,4,4,2,3,2,4,4,3,4,4,2,2,2,3,4,2,2,4,4,4,4,3,4,4,2,4,4,3,4,4,2,4,4,4,2,2,3,44,39,48,24,29
140,64,Hispanic,,Divorced,Associate degree,15,Yes,,Very comfortable,Very comfortable,Florida,"Yes, I have ___ children",1,No,0,No,"$10,000 - $19,999",Sales and office,Very good,1,5,4,4,1,2,4,3,4,5,2,2,4,1,5,5,1,4,2,5,2,2,4,5,1,3,4,4,4,1,5,4,2,4,5,4,2,4,3,4,4,4,5,4,1,2,3,2,3,1,4,4,5,2,1,4,4,2,1,5,28,47,41,25,59
141,70,White,,Divorced,High school degree or equivalent,12,Yes,,Very comfortable,Very comfortable,Texas,"Yes, I have ___ children",3,"Yes, I have ___ siblings",5,No,"$10,000 - $19,999","Management, professional, and related",Good,3,5,1,4,1,1,5,2,4,5,1,1,5,4,4,4,1,5,4,5,1,1,1,4,1,4,5,1,4,1,3,4,2,4,5,3,1,5,3,5,2,2,5,3,1,4,1,2,1,1,5,5,5,4,1,5,5,2,3,5,32,58,54,38,59
142,65,White,,Married,Bachelor's degree,16,Yes,,Very comfortable,Very comfortable,California,No,0,"Yes, I have ___ siblings",2,No,"$100,000 - $150,000",Retired,Very good,2,4,2,4,4,2,4,2,4,4,2,2,4,2,4,4,4,4,2,2,2,2,3,4,1,2,4,2,4,2,4,4,4,2,4,3,2,4,2,4,4,,4,4,1,2,3,2,4,4,4,4,4,2,1,2,4,1,2,4,31,41,48,24,45
143,69,White,,Married,"Some college, no degree",14,Yes,,Very comfortable,Very comfortable,Texas,No,0,"Yes, I have ___ siblings",1,No,"$35,000 - $49,999",Retired,Good,3,5,3,4,4,3,5,3,5,5,4,2,5,3,4,4,2,4,4,3,3,2,4,4,2,3,4,3,5,4,4,4,3,5,4,4,2,4,4,3,3,4,5,5,3,3,2,2,3,4,2,5,,5,2,4,3,2,2,3,34,48,40,33,39
144,60,Black or African American,,Living with a partner,Bachelor's degree,16,Yes,,Very comfortable,Very comfortable,New Jersey,No,0,"Yes, I have ___ siblings",1,No,"$20,000 - $34,999",Retired,Good,4,5,3,5,4,2,5,4,4,3,1,1,5,1,2,4,2,4,1,1,1,1,2,5,5,4,4,1,5,4,4,5,2,1,4,3,1,5,1,1,2,2,5,4,1,5,1,1,5,2,3,5,5,1,4,3,2,1,1,1,34,54,50,14,28
145,70,White,,Married,Master's degree,18,Yes,,Very comfortable,Very comfortable,Iowa,"Yes, I have ___ children",3,"Yes, I have ___ siblings",3,Yes,"$100,000 - $150,000","Construction, extraction, and maintenance",Excellent,5,5,1,5,5,5,5,1,5,1,1,1,5,1,5,5,1,5,1,5,5,1,1,5,1,1,5,1,5,5,1,5,5,1,5,5,1,5,1,,5,1,5,5,1,5,1,1,1,1,1,5,5,1,5,5,5,1,1,,52,60,60,16,34
146,65,White,,Living with a partner,"Some college, no degree",13,Yes,,Very comfortable,Very comfortable,Pennsylvania,"Yes, I have ___ children",2,"Yes, I have ___ siblings",3,Yes,"$75,000 - $99,999","Management, professional, and related",Very good,4,3,1,5,2,4,4,3,4,3,2,4,5,1,4,2,2,5,2,3,3,2,2,4,4,3,3,2,4,2,2,3,5,1,3,2,2,4,1,2,3,4,5,4,2,3,2,1,4,2,3,4,4,1,2,3,2,1,1,4,42,39,54,18,41
147,61,Black or African American,,Married,"Some college, no degree",16,Yes,,Very comfortable,Very comfortable,Tennessee,"Yes, I have ___ children",2,"Yes, I have ___ siblings",4,Yes,"$20,000 - $34,999",Service,Very good,5,5,1,3,4,5,5,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,1,1,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5,4,4,5,2,2,2,2,3,3,4,4,4,5,5,5,5,1,2,3,38,39,56,38,48
148,67,Black or African American,,Single,Master's degree,18,Yes,,Very comfortable,Very comfortable,California,No,0,"Yes, I have ___ siblings",3,No,"$35,000 - $49,999","Management, professional, and related",Excellent,3,5,1,4,1,5,5,1,4,5,1,2,5,1,5,5,1,5,3,5,3,1,1,5,1,1,4,1,5,1,5,5,5,1,5,1,1,5,1,5,5,4,5,5,1,1,2,1,3,1,3,5,5,1,1,4,3,1,1,5,41,52,60,18,60
149,69,White,,Living with a partner,Associate degree,15,Yes,,Very comfortable,Very comfortable,Ohio,,0,"Yes, I have ___ siblings",1,,"$20,000 - $34,999",Retired,Good,4,5,3,5,1,3,5,2,4,5,1,1,5,1,4,3,1,3,2,5,2,1,3,5,1,4,5,2,5,1,3,5,3,2,5,3,1,4,1,3,3,2,5,5,1,3,1,2,5,1,2,5,5,1,1,4,4,1,2,4,39,58,48,16,56
150,61,Black or African American,,Living with a partner,Master's degree,17,Yes,,Very comfortable,Very comfortable,South Carolina,No,0,"Yes, I have ___ siblings",3,No,"$100,000 - $150,000","Construction, extraction, and maintenance",Good,4,5,1,4,2,4,5,1,5,4,1,1,5,1,4,2,1,5,4,4,3,1,1,5,2,1,5,2,4,2,4,5,5,4,5,4,2,5,2,5,5,2,5,4,2,1,1,1,4,2,4,5,5,2,2,5,2,4,3,5,42,55,56,26,51
151,60,White,,Divorced,"Some college, no degree",14,Yes,,Very comfortable,Very comfortable,Georgia,No,0,"Yes, I have ___ siblings",1,No,"$10,000 - $19,999",Service,Fair,4,4,4,2,1,3,4,1,2,5,2,1,2,3,4,2,1,1,4,5,3,2,2,4,1,4,4,4,3,1,1,4,2,4,5,3,3,3,4,5,1,1,3,4,1,4,1,4,2,1,2,4,3,4,1,3,4,4,3,5,40,51,31,41,59
152,69,White,,Married,Bachelor's degree,16,Yes,,Very comfortable,Very comfortable,Arizona,"Yes, I have ___ children",2,"Yes, I have ___ siblings",3,Yes,"Over $150,000","Construction, extraction, and maintenance",Good,4,5,1,4,1,5,5,1,5,4,2,1,5,1,5,3,2,4,2,5,5,1,2,5,1,2,1,1,5,1,1,5,5,1,5,1,1,4,1,1,5,1,5,5,2,4,1,1,4,1,2,5,5,1,1,5,4,1,2,5,53,54,57,16,54
153,60,White,,Married,High school degree or equivalent,12,Yes,,Very comfortable,Very comfortable,Massachusetts,"Yes, I have ___ children",1,"Yes, I have ___ siblings",2,No,"$20,000 - $34,999",Retired,Very good,4,4,1,5,4,5,5,3,5,5,4,3,5,1,5,3,3,5,4,5,4,1,1,5,5,4,3,1,5,2,2,4,5,1,5,2,3,5,1,5,4,4,5,5,1,4,3,1,5,2,4,5,5,1,1,3,3,1,1,5,41,43,58,15,51
154,62,"Other, please specify:",Asian/African/American,Widowed,High school degree or equivalent,12,"No, my first language is: __",Creole,Comfortable,Comfortable,Pennsylvania,"Yes, I have ___ children",2,"Yes, I have ___ siblings",6,Yes,"$35,000 - $49,999",Unemployed,Good,4,5,2,3,3,3,4,2,4,4,2,1,4,2,4,4,1,3,4,3,1,1,2,4,3,2,5,2,4,2,4,5,4,3,3,4,2,4,2,2,4,2,4,4,3,3,2,2,2,2,2,5,4,2,3,4,5,2,2,3,37,56,47,30,39
155,67,White,,Married,Doctorate,40,Yes,,Very comfortable,Very comfortable,New York,"Yes, I have ___ children",4,"Yes, I have ___ siblings",3,Yes,"Over $150,000","Management, professional, and related",Excellent,2,2,3,4,3,3,2,4,3,2,5,4,4,3,4,3,5,3,5,2,4,3,4,3,2,3,1,2,2,2,4,3,4,1,3,2,3,4,3,4,3,4,3,4,3,4,1,2,3,2,3,3,5,3,2,2,4,3,3,4,34,31,41,35,41
156,71,White,,Married,Master's degree,18,Yes,,Comfortable,Comfortable,Michigan,No,0,"Yes, I have ___ siblings",2,Yes,"$50,000 - $74,999",Retired,Very good,4,4,2,4,2,4,4,2,5,4,2,4,4,4,4,5,2,5,4,5,4,4,2,5,2,1,5,4,4,2,5,4,5,5,5,4,2,5,4,4,4,2,5,4,2,4,2,1,2,2,2,4,5,4,5,4,4,2,4,4,41,45,52,37,47
157,76,White,,Widowed,High school degree or equivalent,12,Yes,,Very comfortable,Very comfortable,Texas,"Yes, I have ___ children",3,"Yes, I have ___ siblings",1,No,"Under $10,000",Retired,Fair,4,2,1,5,4,4,5,3,2,5,2,5,1,5,3,4,2,3,5,2,3,5,4,5,3,3,2,1,1,4,4,3,1,4,2,3,1,1,4,5,3,2,2,5,4,3,5,4,1,1,4,2,5,5,2,3,2,3,1,4,36,32,33,41,39
158,62,White,,Divorced,Bachelor's degree,16,Yes,,Very comfortable,Very comfortable,Kansas,"Yes, I have ___ children",3,"Yes, I have ___ siblings",3,No,"$100,000 - $150,000","Management, professional, and related",Very good,4,5,1,3,2,3,5,1,4,4,1,1,4,1,4,2,1,5,1,4,2,1,1,3,1,1,5,1,5,2,2,5,5,5,4,2,1,4,1,4,4,1,5,5,2,4,1,1,4,2,2,4,5,1,1,5,5,1,1,4,48,59,58,22,50
159,77,White,,Married,Master's degree,16,Yes,,Very comfortable,Very comfortable,Michigan,"Yes, I have ___ children",3,No,0,Yes,"$100,000 - $150,000",Retired,Good,4,5,2,4,4,3,3,2,3,4,3,2,4,3,3,4,4,4,3,4,3,2,2,4,4,3,4,4,4,5,4,4,5,3,4,4,1,3,4,5,4,4,4,3,2,3,3,2,3,3,3,4,4,3,2,4,4,2,4,4,36,44,46,35,40
160,63,White,,Married,Bachelor's degree,16,Yes,,Very comfortable,Very comfortable,Kentucky,"Yes, I have ___ children",2,"Yes, I have ___ siblings",2,No,"$100,000 - $150,000","Management, professional, and related",Very good,5,5,1,5,1,5,5,1,5,5,1,1,5,1,5,1,2,5,1,5,5,1,1,5,1,1,5,1,5,1,1,5,5,1,5,1,1,5,1,5,5,1,5,5,1,5,1,1,5,1,3,5,5,1,1,5,5,1,1,5,58,59,60,12,60
161,65,White,,Divorced,Doctorate,31,Yes,,Very comfortable,Very comfortable,Wisconsin,"Yes, I have ___ children",3,"Yes, I have ___ siblings",5,Yes,"$75,000 - $99,999","Management, professional, and related",Very good,4,5,1,4,4,5,4,1,5,4,2,1,5,4,4,5,4,4,3,4,4,3,4,4,3,5,4,3,5,4,4,3,5,2,5,4,4,5,3,4,5,4,3,4,2,3,1,3,2,4,4,3,4,2,3,5,5,4,5,4,38,43,46,31,41
162,61,Black or African American,,Single,"Some college, no degree",13,Yes,,Very comfortable,Very comfortable,New York,No,0,"Yes, I have ___ siblings",2,Yes,"$20,000 - $34,999",Sales and office,Good,4,5,1,5,1,4,5,2,5,5,1,1,5,1,5,5,1,5,1,5,4,1,2,5,1,2,5,1,5,2,4,5,5,1,4,3,1,5,1,5,4,1,5,5,1,3,1,1,5,1,2,5,5,1,2,5,4,1,1,5,43,59,58,12,57
163,67,Black or African American,,Living with a partner,Master's degree,18,Yes,,Very comfortable,Very comfortable,Pennsylvania,"Yes, I have ___ children",3,"Yes, I have ___ siblings",3,Yes,"$50,000 - $74,999",Sales and office,Very good,5,5,1,5,2,5,5,1,5,5,1,1,5,1,4,1,5,5,1,5,5,5,1,5,1,1,5,1,1,,1,5,5,1,5,1,1,5,1,5,5,1,5,5,1,4,1,1,4,1,1,5,5,1,1,5,5,1,1,5,59,52,60,17,53
164,60,White,,Married,High school degree or equivalent,12,Yes,,Very comfortable,Very comfortable,Florida,"Yes, I have ___ children",1,"Yes, I have ___ siblings",3,No,"$20,000 - $34,999","Management, professional, and related",Fair,2,5,2,4,2,1,5,2,2,5,2,4,5,2,4,5,1,2,1,4,1,1,2,4,2,2,4,2,4,1,5,5,2,2,4,4,1,4,2,5,2,2,5,4,1,2,2,2,2,4,3,5,4,2,1,2,4,4,1,4,25,53,44,26,51
165,66,Black or African American,,Single,Bachelor's degree,16,Yes,,Very comfortable,Very comfortable,North Carolina,No,0,"Yes, I have ___ siblings",4,Yes,"$20,000 - $34,999",Retired,Excellent,4,5,1,5,3,4,5,1,5,3,4,1,5,1,3,4,1,5,1,3,3,1,1,5,3,2,5,1,5,2,4,5,5,1,4,2,1,5,1,3,4,1,5,5,1,4,1,1,5,3,3,5,5,1,3,4,4,1,1,3,40,59,60,12,40
166,66,White,,Divorced,"Some college, no degree",15,Yes,,Very comfortable,Very comfortable,Virginia,"Yes, I have ___ children",3,"Yes, I have ___ siblings",4,No,"$35,000 - $49,999",Retired,Fair,2,5,2,5,1,1,5,4,5,5,2,1,4,1,5,4,1,3,2,5,2,1,5,4,1,5,5,2,5,1,4,5,3,1,5,2,1,4,1,3,1,1,5,5,1,2,1,1,5,1,3,5,5,1,1,3,5,1,1,5,27,60,45,14,58
167,61,White,,Married,Professional degree,22,Yes,,Very comfortable,Very comfortable,Texas,"Yes, I have ___ children",3,"Yes, I have ___ siblings",2,Yes,"Over $150,000","Management, professional, and related",Good,4,4,2,3,4,4,3,2,3,4,4,3,2,3,4,3,4,3,3,3,4,2,3,4,5,3,3,3,4,3,4,3,3,3,4,4,3,3,3,3,4,3,3,3,4,,3,3,2,4,4,3,2,2,2,3,4,4,4,3,33,38,35,35,35
168,78,White,,Married,Bachelor's degree,16,Yes,,Very comfortable,Very comfortable,Virginia,"Yes, I have ___ children",3,"Yes, I have ___ siblings",2,Yes,"$35,000 - $49,999","Construction, extraction, and maintenance",Excellent,4,5,2,4,3,5,5,1,4,5,2,1,2,3,4,5,4,5,4,5,4,3,2,5,4,5,4,2,5,1,4,5,5,2,4,5,1,5,4,4,5,4,4,5,2,1,2,1,1,3,4,5,5,2,1,4,5,1,2,5,34,50,53,29,49
169,70,White,,Divorced,Master's degree,21,Yes,,Very comfortable,Very comfortable,North Carolina,No,0,"Yes, I have ___ siblings",2,No,"$75,000 - $99,999",Retired,Good,5,5,1,4,1,5,5,2,5,5,1,4,5,1,4,1,1,5,4,5,5,1,2,4,1,2,4,1,5,2,1,5,4,4,5,3,2,5,3,5,5,1,5,4,1,5,1,1,3,1,2,5,5,2,4,5,3,1,,4,56,53,57,25,54
170,61,White,,Single,High school degree or equivalent,12,Yes,,Very comfortable,Very comfortable,Alabama,No,0,"Yes, I have ___ siblings",3,No,"$50,000 - $74,999",Sales and office,Good,4,5,2,5,2,4,4,1,5,5,1,1,5,1,4,4,1,4,4,4,3,1,1,5,1,2,5,2,5,2,4,5,2,1,5,1,4,4,1,5,4,1,5,5,1,4,2,1,5,1,2,4,5,1,1,5,5,2,1,3,46,54,52,15,54
171,73,White,,Married,Bachelor's degree,16,Yes,,Comfortable,Comfortable,New Jersey,"Yes, I have ___ children",3,"Yes, I have ___ siblings",3,Yes,"$50,000 - $74,999",Service,Very good,4,4,3,4,4,4,4,1,3,2,2,2,2,3,4,3,4,3,3,3,4,3,2,4,3,3,4,2,3,4,2,3,4,3,4,2,4,4,4,4,4,4,4,4,2,4,2,3,3,3,2,4,3,2,2,4,4,3,2,3,46,40,42,32,38
172,64,White,,Married,Bachelor's degree,16,Yes,,Very comfortable,Very comfortable,Massachusetts,"Yes, I have ___ children",2,"Yes, I have ___ siblings",1,Yes,"Over $150,000","Management, professional, and related",Very good,4,4,1,4,1,4,5,1,5,5,1,1,5,1,5,5,1,5,1,5,5,1,1,5,1,1,4,1,5,1,5,4,5,1,5,3,1,5,1,5,5,1,5,4,2,2,1,1,4,1,1,5,5,1,1,5,4,1,1,5,45,56,60,15,59
173,61,White,,Widowed,Bachelor's degree,4,Yes,,Very comfortable,Very comfortable,Washington,"Yes, I have ___ children",2,"Yes, I have ___ siblings",3,Yes,"$50,000 - $74,999","Management, professional, and related",Very good,4,5,4,4,2,3,5,2,4,4,2,3,5,2,4,3,5,3,3,4,4,2,5,4,2,2,4,2,4,2,4,4,4,4,4,2,2,4,2,4,4,4,5,3,2,3,2,2,2,2,3,5,2,2,4,4,3,1,1,5,42,44,43,29,47
