,"I am someone who Is outgoing, sociable","I am someone who Is compassionate, has a soft heart",I am someone who Tends to be disorganized,"I am someone who Is relaxed, handles stress well",I am someone who Has few artistic interests,I am someone who Has an assertive personality,"I am someone who Is respectful, treats others with respect",I am someone who Tends to be lazy,I am someone who Stays optimistic after experiencing a setback,I am someone who Is curious about many different things,I am someone who Rarely feels excited or eager,I am someone who Tends to find fault with others,"I am someone who Is dependable, steady","I am someone who Is moody, has up and down mood swings","I am someone who Is inventive, finds clever ways to do things",I am someone who Tends to be quiet,I am someone who Feels little sympathy for others,"I am someone who Is systematic, likes to keep things in order",I am someone who Can be tense,"I am someone who Is fascinated by art, music, or literature","I am someone who Is dominant, acts as a leader",I am someone who Starts arguments with others,I am someone who Has difficulty getting started on tasks,"I am someone who Feels secure, comfortable with self","I am someone who Avoids intellectual, philosophical discussions",I am someone who Is less active than other people,I am someone who Has a forgiving nature,I am someone who Can be somewhat careless,"I am someone who Is emotionally stable, not easily upset",I am someone who Has little creativity,"I am someone who Is sometimes shy, introverted",I am someone who Is helpful and unselfish with others,I am someone who Keeps things neat and tidy,I am someone who Worries a lot,I am someone who Values art and beauty,I am someone who Finds it hard to influence people,I am someone who Is sometimes rude to others,"I am someone who Is efficient, gets things done",I am someone who Often feels sad,"I am someone who Is complex, a deep thinker",I am someone who Is full of energy,I am someone who Is suspicious of others’ intentions,"I am someone who Is reliable, can always be counted on",I am someone who Keeps their emotions under control,I am someone who Has difficulty imagining things,I am someone who Is talkative,I am someone who Can be cold and uncaring,"I am someone who Leaves a mess, doesn’t clean up",I am someone who Rarely feels anxious or afraid,I am someone who Thinks poetry and plays are boring,I am someone who Prefers to have others take charge,"I am someone who Is polite, courteous to others","I am someone who Is persistent, works until the task is finished","I am someone who Tends to feel depressed, blue",I am someone who Has little interest in abstract Ideas,I am someone who Shows a lot of Enthusiasm,I am someone who Assumes the best about people,I am someone who Sometimes behaves irresponsibly,"I am someone who Is temperamental, gets emotional easily","I am someone who Is original, comes up with new Ideas"
"very dishonest, very selfish, very distrustful, very unaltruistic and very uncooperative",3,1,1,3,3,3,1,3,1,3,3,5,1,1,4,3,5,3,3,3,5,5,3,5,3,3,1,5,3,3,3,5,3,3,3,5,5,5,3,3,3,5,5,3,1,3,5,5,3,3,5,1,3,3,3,3,1,5,3,3
"level-headed, relaxed, at ease, emotionally stable and  unselfconscious",3,4,3,5,3,3,4,3,4,4,3,3,5,1,4,3,3,4,2,4,3,2,3,5,3,3,4,3,5,3,3,4,4,2,4,3,3,4,3,4,3,3,5,4,3,3,2,2,4,3,3,4,4,1,3,3,4,2,1,4
"extremely extravagant, extremely disorganized, extremely messy, extremely impractical and extremely lazy",3,3,5,2,5,3,3,5,3,3,3,3,1,3,2,3,3,1,3,3,2,3,5,3,3,5,3,5,3,5,3,2,1,3,3,3,3,1,3,3,1,3,1,3,3,3,3,5,3,3,5,3,1,3,3,5,3,5,3,3
"very socially progressive, very emotionally aware, very aesthetic, very reflective and very imaginative",4,5,3,4,1,3,5,2,4,5,1,2,4,4,5,3,1,3,4,5,3,2,3,4,2,3,5,2,4,1,4,5,4,4,5,3,2,4,4,5,3,2,4,3,1,3,1,1,3,2,2,5,4,3,1,4,4,3,4,5
"a bit self-important, a bit disagreeable, a bit selfish, a bit unaltruistic and a bit unkind",3,2,3,2,3,5,2,3,2,3,3,5,3,4,4,3,4,4,4,2,5,4,3,5,2,2,2,4,4,1,2,2,3,3,3,4,4,4,3,5,4,4,3,4,3,4,4,4,3,4,1,2,4,3,3,3,2,4,3,5
"very careless, very negligent, very messy, very unsure and very disorganized",3,3,5,2,3,2,3,4,3,3,3,3,1,3,2,3,3,1,3,3,2,3,5,2,3,3,3,5,3,3,3,3,1,3,3,3,3,2,3,3,3,3,2,3,3,3,3,5,3,3,3,3,2,3,3,3,3,5,3,3
"sophisticated, intelligent, aesthetic, imaginative and  artistically appreciative",3,4,2,4,1,4,5,2,4,5,2,2,4,3,5,3,2,4,3,5,3,2,2,4,1,3,4,2,4,1,3,4,4,3,5,3,2,4,3,5,4,3,4,4,1,4,2,1,3,2,2,5,4,3,1,4,4,2,2,5
"very self-important, very disagreeable, very unsympathetic, very uncooperative and very unkind",1,1,1,1,5,5,1,1,1,1,5,5,1,1,5,1,5,5,5,5,5,5,1,5,2,1,1,1,1,1,1,1,5,1,1,1,5,3,1,4,3,5,1,3,1,1,5,5,1,5,1,1,3,1,5,2,1,5,1,5
"a bit socially progressive, a bit creative, a bit artistically appreciative, a bit imaginative and a bit emotionally aware",3,4,3,3,2,3,5,2,4,5,2,2,4,3,4,3,2,3,4,5,3,2,3,4,2,3,4,2,4,2,4,4,4,3,5,3,2,4,3,4,4,2,4,3,2,3,2,2,3,2,2,4,4,3,2,4,4,3,3,4
"socially conservative, unreflective, uncreative, unaesthetic and  uninquisitive",3,3,3,3,5,3,5,3,3,1,4,4,5,3,1,4,4,5,3,1,4,2,3,4,5,3,3,3,4,5,4,4,4,3,2,4,3,4,3,2,3,4,4,4,5,3,4,4,3,5,4,4,4,3,5,3,3,3,3,1
"very assertive, very bold, very active, very cheerful and very friendly",5,5,1,5,1,5,5,1,5,5,1,1,5,1,5,1,1,5,2,5,5,1,1,5,1,1,5,1,5,1,1,5,5,2,5,1,1,5,1,5,5,1,5,5,1,5,1,1,5,1,1,5,5,1,1,5,5,1,1,5
"a bit conscientious, a bit self-efficacious, a bit orderly, a bit thrifty and a bit hardworking",3,3,2,3,3,3,4,2,4,4,3,3,4,3,4,3,2,4,3,3,3,2,2,4,3,3,3,2,3,3,3,4,4,3,3,3,2,4,3,4,4,3,4,4,3,3,2,2,3,3,2,4,4,3,3,3,3,2,3,4
"emotionally stable, happy, calm, relaxed and  unselfconscious",3,4,3,5,3,4,5,3,4,4,3,3,5,1,4,3,2,4,2,4,3,2,3,5,3,3,4,3,5,2,3,4,4,2,4,3,2,4,1,4,4,3,5,5,3,3,1,2,4,3,3,5,4,1,3,4,4,3,1,4
"a bit negligent, a bit unsure, a bit messy, a bit extravagant and a bit lazy",3,3,4,3,3,2,3,4,3,3,3,3,2,3,3,3,3,2,3,3,2,3,4,2,3,4,3,4,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,4,3,3,3,3,2,3,3,3,3,4,3,3
"neither selfish nor unselfish, neither unsympathetic nor sympathetic, neither self-important nor humble, neither uncooperative nor cooperative, and neither distrustful nor trustful",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"responsible, self-efficacious, self-disciplined, thorough and  organized",4,4,1,4,3,4,5,1,4,4,3,2,5,2,4,3,2,5,3,4,4,1,1,5,2,2,4,1,4,1,3,5,5,3,4,4,1,5,3,4,4,3,5,4,2,4,1,1,3,3,1,5,5,2,2,4,4,1,2,4
"a bit unenergetic, a bit introverted, a bit unfriendly, a bit unadventurous and a bit gloomy",2,3,3,2,3,2,3,4,2,2,4,4,3,4,2,4,4,3,4,3,2,2,4,2,4,4,3,3,3,3,4,3,3,4,3,4,4,3,4,4,2,4,3,4,3,2,4,3,3,3,4,2,3,4,4,2,2,3,3,2
"neither unimaginative nor imaginative, neither uncreative nor creative, neither uninquisitive nor curious, neither socially conservative nor socially progressive, and neither unreflective nor reflective",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"extremely friendly, extremely bold, extremely adventurous and daring, extremely extraverted and extremely assertive",5,5,1,5,1,5,5,1,5,5,1,2,5,1,5,1,1,3,2,5,5,5,1,5,1,1,5,5,5,1,1,5,4,2,5,1,1,5,1,5,5,1,5,4,1,5,1,1,5,2,1,5,5,1,1,5,5,5,1,5
"unaltruistic, distrustful, dishonest, immoral and  uncooperative",3,1,3,3,3,3,1,4,2,3,3,5,1,3,4,3,5,3,3,3,3,5,3,3,3,3,1,4,3,3,3,5,3,3,3,4,5,3,3,3,3,5,5,3,3,3,5,5,3,3,4,1,3,3,3,3,1,5,3,3
"artistically unappreciative, emotionally closed, predictable, socially conservative and  uncreative",2,1,3,3,5,3,4,3,2,1,5,3,5,1,1,4,4,5,3,1,3,3,3,4,4,3,3,3,4,5,4,3,5,3,1,3,3,5,3,2,3,4,5,5,5,3,4,3,3,5,3,4,5,3,5,2,3,3,1,1
"very calm, very unselfconscious, very at ease, very emotionally stable and very happy",4,4,3,5,3,4,5,3,4,4,3,2,5,1,4,4,2,4,1,4,3,2,2,5,3,3,4,3,5,2,3,4,4,1,4,3,2,4,1,4,4,2,5,5,2,3,1,2,4,3,3,5,4,1,3,4,4,3,1,4
"adventurous and daring, active, cheerful, friendly and  extraverted",5,4,2,5,2,5,5,1,5,5,1,2,4,2,5,2,1,3,2,4,5,2,2,5,2,1,5,4,4,1,1,5,3,2,4,2,2,5,2,4,5,2,5,4,2,5,1,2,5,2,2,4,5,1,2,5,5,4,2,5
"a bit socially progressive, a bit creative, a bit emotionally aware, a bit spontaneous and a bit aesthetic",4,4,3,4,2,3,5,3,4,4,2,2,4,4,4,3,2,3,4,4,3,2,3,4,2,3,4,3,4,2,3,4,3,3,4,3,2,4,3,4,4,3,4,3,2,4,2,2,3,2,2,4,4,3,2,4,4,3,3,4
"very extraverted, very energetic, very talkative, very assertive and very cheerful",5,5,2,5,1,5,5,1,5,5,1,2,5,1,5,1,1,4,2,5,5,4,1,5,1,1,5,4,5,1,1,5,5,3,5,1,1,5,1,4,5,2,5,4,1,5,1,1,5,1,1,5,5,1,1,5,5,3,2,5
"altruistic, agreeable, unselfish, generous and  honest",4,5,3,4,3,3,5,2,5,5,3,2,5,2,4,3,1,4,3,4,3,2,3,4,3,3,5,2,4,3,3,5,4,3,4,4,1,4,3,4,4,2,5,4,3,4,1,1,3,3,3,5,5,2,3,4,5,2,2,4
"a bit adventurous and daring, a bit friendly, a bit talkative, a bit extraverted and a bit active",4,4,3,4,3,4,4,2,4,4,2,2,4,3,4,2,2,3,3,4,4,2,2,4,2,2,4,4,4,2,2,4,3,2,4,3,2,4,2,4,4,2,4,4,2,4,2,2,3,3,2,4,4,2,3,4,4,4,3,4
"extremely reflective, extremely sophisticated, extremely analytical, extremely spontaneous and extremely emotionally aware",3,5,2,4,1,4,5,1,4,5,1,2,4,4,5,3,1,4,4,5,4,2,2,4,1,3,4,1,4,1,4,4,4,4,5,3,2,4,3,5,4,3,4,4,1,4,1,1,3,2,2,5,5,3,1,4,4,3,4,5
"extremely unfriendly, extremely timid, extremely unadventurous, extremely introverted and extremely unassertive",1,2,3,1,3,1,3,3,2,1,5,2,3,3,1,5,1,3,5,3,1,1,4,1,5,5,2,2,3,3,5,1,3,5,3,5,2,2,3,3,1,5,2,3,3,1,5,3,1,3,5,1,2,5,5,1,1,2,3,1
"very unsympathetic, very distrustful, very immoral, very self-important and very unaltruistic",3,1,3,1,3,5,1,3,1,3,3,5,1,4,5,3,5,3,3,3,5,5,3,5,3,3,1,5,3,3,3,5,3,3,2,1,5,5,3,4,4,5,1,5,3,4,5,5,3,3,1,1,3,3,3,3,1,5,3,5
"neither silent nor talkative, neither inactive nor active, neither timid nor bold, neither unassertive nor assertive, and neither introverted nor extraverted",3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"a bit conscientious, a bit hardworking, a bit thorough, a bit practical and a bit orderly",3,3,4,3,3,3,4,2,4,4,3,3,4,3,3,3,2,4,3,3,3,2,3,3,3,3,3,2,3,3,3,4,4,3,3,3,3,4,3,4,3,3,4,4,3,3,2,2,3,3,3,4,4,3,3,3,3,3,3,3
"neither patient nor irritable, neither easygoing nor anxious, neither happy nor depressed, neither emotionally stable nor emotionally unstable, and neither at ease nor nervous",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"very messy, very careless, very extravagant, very undisciplined and very unsure",3,3,5,2,3,2,3,4,3,3,3,3,1,4,3,3,3,1,4,3,2,3,4,2,3,3,3,5,2,3,3,3,1,3,3,4,4,2,3,3,3,3,2,2,3,3,3,5,3,3,3,3,2,3,3,3,3,5,4,3
"a bit easygoing, a bit contented, a bit calm, a bit at ease and a bit happy",3,4,3,4,3,3,4,3,4,4,4,2,4,2,4,3,2,3,3,4,3,2,3,4,3,3,4,3,4,3,3,4,4,2,4,3,2,4,2,3,3,3,4,4,3,3,2,2,4,3,3,4,4,2,3,3,4,3,2,4
"very kind, very humble, very honest, very sympathetic and very unselfish",3,5,3,4,1,3,5,2,4,4,3,1,5,3,4,3,1,4,3,4,3,1,3,4,3,3,5,2,4,3,4,5,4,3,4,4,1,4,5,4,4,2,5,4,3,3,1,1,3,3,3,5,5,3,3,4,5,3,3,4
"extraverted, friendly, energetic, adventurous and daring and  active",5,4,2,4,2,5,5,1,5,5,1,2,4,2,5,1,1,3,2,5,5,2,2,5,1,1,5,4,4,1,1,5,4,2,5,1,2,5,2,4,5,2,5,3,1,5,1,2,5,2,2,5,5,1,2,5,5,4,2,5
"very irritable, very impulsive, very anxious, very nervous and very tense",2,2,3,1,3,3,3,2,2,3,1,4,2,5,3,2,3,1,5,3,2,4,4,1,3,3,2,4,1,3,3,2,3,5,3,3,4,2,4,3,3,5,2,1,3,3,3,3,5,3,3,2,2,5,3,2,2,4,5,3
"a bit friendly, a bit energetic, a bit talkative, a bit extraverted and a bit cheerful",4,4,3,3,3,3,5,2,4,4,2,2,4,3,4,2,2,4,3,4,3,2,2,4,2,2,4,3,4,2,2,4,4,3,4,3,2,4,2,3,4,2,4,4,2,4,2,2,3,3,2,4,4,2,3,4,4,3,3,4
"extremely impractical, extremely disorganized, extremely careless, extremely messy and extremely unsure",3,3,5,2,3,2,3,5,3,3,3,3,1,3,2,3,3,1,3,3,2,3,5,2,3,3,3,5,3,3,3,3,1,3,3,3,3,1,3,3,3,3,1,3,3,3,3,5,3,3,3,3,1,3,3,3,3,5,3,3
"neither selfish nor unselfish, neither stingy nor generous, neither dishonest nor honest, neither unaltruistic nor altruistic, and neither unkind nor kind",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"extremely messy, extremely unsure, extremely lazy, extremely disorganized and extremely impractical",3,3,5,2,3,2,3,5,3,3,3,3,1,3,2,3,3,1,3,3,1,3,5,2,3,5,3,5,3,3,3,3,1,3,3,4,3,1,3,3,1,3,1,3,3,3,3,5,3,3,5,3,1,3,3,3,3,5,3,3
"a bit unaesthetic, a bit artistically unappreciative, a bit uncreative, a bit predictable and a bit unimaginative",3,3,3,3,4,3,3,3,3,2,3,3,4,3,2,3,3,4,3,2,3,3,3,3,4,3,3,3,3,4,3,3,3,3,2,3,3,4,3,2,3,3,4,3,4,3,3,3,3,4,3,3,3,3,4,3,3,3,3,2
"messy, undisciplined, disorganized, negligent and  careless",3,3,5,3,3,3,3,5,3,3,3,3,1,3,3,3,3,1,4,3,2,3,5,3,3,3,3,5,3,3,3,3,1,3,3,3,4,2,3,3,3,3,2,3,3,3,3,5,3,3,3,3,2,3,3,3,3,4,3,3
"a bit socially conservative, a bit uncreative, a bit emotionally closed, a bit predictable and a bit unaesthetic",2,3,3,3,4,3,4,3,3,2,4,3,4,2,2,4,3,4,4,2,3,2,3,4,4,3,3,3,4,4,4,3,4,3,2,3,3,4,3,3,3,4,4,4,4,3,4,4,3,4,3,4,4,3,4,2,3,3,2,2
"spontaneous, reflective, artistically appreciative, socially progressive and  intelligent",4,5,2,4,1,4,5,2,5,5,2,2,3,3,5,2,1,3,4,5,3,2,2,4,1,2,4,2,4,1,3,5,3,3,5,3,2,4,3,5,4,2,4,3,1,4,1,2,3,1,2,4,4,2,1,5,4,3,3,5
"extremely selfish, extremely stingy, extremely distrustful, extremely unaltruistic and extremely immoral",3,1,3,3,3,4,1,3,1,3,3,5,1,3,4,3,5,3,3,3,5,5,3,5,3,3,1,5,3,3,3,1,3,3,2,5,5,5,3,3,3,5,1,3,3,3,5,5,3,3,1,1,3,3,3,3,1,5,3,4
"a bit unadventurous, a bit unfriendly, a bit silent, a bit introverted and a bit inactive",2,2,3,3,3,2,3,4,2,2,4,4,3,3,2,4,4,3,4,3,2,2,4,3,4,4,3,3,3,3,4,2,3,3,3,4,4,3,3,4,4,4,3,4,3,2,4,3,3,4,4,2,2,4,4,2,2,3,2,2
"very uncreative, very socially conservative, very uninquisitive, very unintelligent and very unimaginative",2,3,3,3,5,3,4,3,3,1,3,3,4,3,1,4,3,4,3,1,3,2,3,3,5,3,3,3,3,5,4,3,4,3,2,4,3,3,3,1,3,4,4,3,5,3,3,3,3,5,4,3,3,3,5,3,3,3,3,1
"extremely depressed, extremely anxious, extremely impulsive, extremely tense and extremely self-conscious",1,3,3,1,3,3,3,3,1,3,5,3,2,5,3,3,3,2,5,3,2,3,5,1,3,3,3,3,1,3,4,3,3,5,3,4,3,2,5,4,1,4,3,1,3,3,3,3,5,3,3,3,3,5,3,2,2,4,5,3
"a bit gloomy, a bit unenergetic, a bit unfriendly, a bit unadventurous and a bit inactive",2,3,3,2,3,2,3,4,2,2,4,4,3,4,2,4,4,3,4,3,2,2,4,2,3,4,3,3,2,4,4,2,3,4,3,4,4,2,4,3,4,4,3,3,3,2,4,3,3,3,4,2,2,4,4,2,2,3,3,2
"unaltruistic, disagreeable, selfish, stingy and  dishonest",3,1,3,2,3,4,1,4,2,3,3,5,1,3,4,3,5,2,3,3,5,5,3,1,3,3,1,5,3,3,3,1,3,3,3,4,5,4,3,3,3,5,1,3,3,3,5,5,3,3,2,1,2,3,3,2,1,5,3,3
"extremely emotionally stable, extremely at ease, extremely happy, extremely level-headed and extremely relaxed",4,4,2,5,3,4,5,2,5,4,1,2,5,1,4,3,2,4,1,4,4,1,1,5,3,3,5,2,5,1,3,5,4,1,4,3,2,4,1,4,4,2,5,5,1,4,1,1,5,3,3,5,5,1,3,4,4,2,1,4
"a bit orderly, a bit self-disciplined, a bit conscientious, a bit thorough and a bit practical",3,3,3,3,3,3,4,3,4,4,3,3,4,3,4,3,3,4,3,3,3,2,3,4,3,3,4,2,4,3,3,4,4,3,3,3,3,4,3,4,3,3,4,4,3,3,2,2,3,3,3,4,4,3,3,3,3,3,3,3
"a bit organized, a bit hardworking, a bit practical, a bit self-efficacious and a bit conscientious",3,3,2,3,3,3,4,2,3,4,3,3,4,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,4,4,3,3,3,3,4,3,3,3,3,4,3,3,3,3,2,3,3,3,4,4,3,3,3,3,3,3,3
"trustful, kind, moral, generous and  humble",3,5,3,4,3,3,5,2,4,4,3,2,5,2,4,3,1,4,3,4,3,2,3,4,3,3,5,2,4,2,3,5,4,3,4,4,1,4,3,4,4,2,5,4,3,3,1,1,3,3,3,5,5,3,3,4,5,2,2,4
"introverted, unfriendly, unenergetic, unadventurous and  inactive",1,2,3,3,3,1,3,5,2,1,5,4,4,4,2,5,5,3,4,3,1,2,5,3,4,5,2,3,3,3,5,2,3,3,3,5,4,2,4,4,1,5,3,4,3,1,5,3,3,3,4,2,2,5,4,1,2,3,3,3
"extremely dishonest, extremely distrustful, extremely uncooperative, extremely disagreeable and extremely unkind",1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,5,1,1,5,5,5,1,1,5,1,1,1,1,5,1,5,1,5,5,5,5,1,1,1,3,5,1,1,3,3,5,5,5,5,5,1,1,1,5,1,1,1,1,1
"extremely talkative, extremely active, extremely friendly, extremely cheerful and extremely assertive",5,5,1,5,1,5,5,1,5,5,1,1,5,1,5,1,1,5,1,5,5,5,1,5,1,1,5,1,5,1,1,5,5,1,5,1,1,5,1,5,5,1,5,4,1,5,1,1,5,1,1,5,5,1,1,5,5,1,1,5
"a bit generous, a bit honest, a bit altruistic, a bit cooperative and a bit kind",3,4,3,3,3,3,4,3,4,4,3,2,4,3,4,3,2,3,3,4,3,2,3,4,3,3,4,3,4,3,3,4,3,3,4,3,2,4,3,4,3,3,4,3,3,3,2,2,3,3,3,4,4,3,3,3,4,3,3,4
"very sophisticated, very spontaneous, very curious, very imaginative and very artistically appreciative",4,4,1,4,1,4,5,1,5,5,1,2,4,3,5,2,1,3,3,5,3,2,2,4,1,2,4,2,4,1,3,4,3,3,5,2,1,4,2,5,4,2,4,3,1,4,1,1,3,1,2,5,4,2,1,5,4,2,3,5
"very intelligent, very reflective, very analytical, very emotionally aware and very creative",3,5,2,4,1,4,5,2,4,5,2,2,5,3,5,3,1,4,4,5,4,2,2,4,1,3,4,1,4,1,5,4,5,3,5,2,3,4,1,5,4,3,5,4,1,3,1,1,3,2,2,4,5,1,1,4,4,2,2,5
"extremely self-conscious, extremely anxious, extremely nervous, extremely irritable and extremely depressed",1,3,3,1,3,2,3,3,1,3,5,3,2,5,2,4,3,3,5,3,1,3,5,1,3,4,2,3,1,3,5,3,3,5,3,4,3,2,5,3,1,4,2,1,3,2,3,3,5,3,4,3,2,5,3,1,2,3,5,2
"a bit dishonest, a bit unaltruistic, a bit selfish, a bit distrustful and a bit unkind",3,2,4,3,3,4,2,4,2,4,3,4,3,4,4,3,4,3,4,3,4,4,3,4,3,3,2,4,3,3,3,4,3,3,3,4,4,4,3,4,3,4,3,4,3,3,4,4,3,3,3,2,3,3,3,3,2,4,3,4
"a bit happy, a bit easygoing, a bit contented, a bit patient and a bit emotionally stable",3,4,3,4,3,3,4,3,4,4,3,2,4,2,4,3,2,4,3,4,3,2,3,4,3,3,4,3,4,3,3,4,4,3,4,3,3,4,2,4,3,3,4,4,3,3,2,2,4,3,3,4,4,2,3,3,4,3,2,4
"neither unimaginative nor imaginative, neither unreflective nor reflective, neither predictable nor spontaneous, neither unintelligent nor intelligent, and neither uncreative nor creative",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"altruistic, trustful, humble, agreeable and  sympathetic",4,5,3,4,3,3,5,2,4,4,3,2,5,2,4,3,1,4,3,4,3,2,3,4,3,3,5,2,4,3,4,5,4,3,4,4,2,4,3,4,4,2,5,4,2,3,1,1,3,3,3,5,5,3,3,4,5,2,2,4
"self-efficacious, conscientious, orderly, self-disciplined and  hardworking",3,3,1,4,3,4,5,1,5,4,2,2,5,1,4,3,1,5,3,4,4,2,1,5,1,1,4,1,4,1,3,5,5,2,4,2,1,5,2,5,5,2,5,5,1,3,1,1,4,3,1,5,5,1,1,4,4,1,1,4
"a bit self-disciplined, a bit thrifty, a bit thorough, a bit practical and a bit organized",3,3,2,3,3,3,4,2,4,4,3,3,4,3,4,3,3,4,3,3,3,2,3,4,3,3,3,2,4,3,3,4,4,3,3,3,3,4,3,4,3,3,4,4,3,3,2,2,3,3,2,4,4,3,3,3,3,4,3,3
"extremely unfriendly, extremely unenergetic, extremely unassertive, extremely timid and extremely inactive",1,2,3,1,3,1,2,5,1,1,5,2,2,2,1,5,2,2,3,2,1,1,5,1,2,5,2,3,3,3,5,1,3,3,3,5,1,1,3,3,1,2,2,3,3,1,5,3,1,3,5,1,1,5,3,1,1,2,2,2
"very unintelligent, very unreflective, very unanalytical, very emotionally closed and very uncreative",3,3,3,3,3,3,3,3,3,1,3,3,3,3,5,3,3,3,3,2,3,3,3,3,5,3,3,3,3,5,3,3,3,3,3,3,3,3,3,1,3,3,3,3,5,3,3,3,3,3,3,3,3,3,5,3,3,3,3,5
"very honest, very unselfish, very trustful, very altruistic and very cooperative",4,5,3,4,3,3,5,1,4,4,3,1,5,3,4,3,1,4,3,4,3,1,3,4,3,3,4,2,4,3,3,5,4,3,4,4,1,5,3,4,4,1,5,4,3,3,1,1,3,3,3,5,5,3,3,4,5,1,3,4
"a bit cheerful, a bit energetic, a bit friendly, a bit adventurous and daring and a bit active",4,4,2,4,3,4,5,2,4,5,2,2,4,2,4,2,2,3,3,4,4,2,2,4,2,2,4,3,4,1,2,4,4,3,4,3,2,4,2,4,4,2,4,4,2,4,2,2,4,2,2,4,4,2,2,4,4,3,2,4
"very thrifty, very orderly, very self-efficacious, very thorough and very practical",3,3,1,2,3,4,5,1,4,3,2,2,5,1,4,3,2,5,3,3,3,1,1,5,2,2,3,1,4,1,2,4,5,2,3,4,1,5,2,3,4,2,5,4,1,3,1,1,3,3,1,5,5,1,5,3,3,1,1,3
"very thorough, very conscientious, very orderly, very self-efficacious and very organized",3,3,1,4,3,4,5,1,4,4,3,2,5,1,4,3,1,5,3,4,4,1,1,5,1,1,4,1,4,1,3,4,5,2,4,4,1,5,3,4,4,3,5,4,1,3,1,1,3,3,1,5,5,1,2,4,4,1,1,4
"very altruistic, very sympathetic, very moral, very agreeable and very humble",3,5,3,4,3,3,5,2,5,5,3,1,5,3,4,4,1,4,3,4,3,1,3,4,3,3,5,2,4,3,4,5,4,3,4,4,1,4,3,4,4,2,5,4,3,3,1,1,3,3,3,5,5,3,3,4,5,2,3,4
"extremely unkind, extremely distrustful, extremely uncooperative, extremely stingy and extremely self-important",1,1,1,1,3,5,1,1,1,1,3,5,1,5,1,3,5,3,5,1,5,5,1,1,1,3,1,1,1,3,1,1,3,3,1,5,5,3,3,3,3,5,1,3,1,2,5,5,3,5,1,1,3,3,1,1,1,5,1,5
"extremely practical, extremely self-efficacious, extremely hardworking, extremely conscientious and extremely orderly",3,3,1,2,3,5,5,1,4,4,1,2,5,1,4,3,3,5,3,3,5,1,1,5,1,1,3,1,5,1,2,4,5,2,3,1,1,5,1,3,5,3,5,5,1,3,1,1,4,3,1,5,5,1,5,3,3,1,1,4
"a bit aesthetic, a bit emotionally aware, a bit intelligent, a bit socially progressive and a bit curious",3,4,3,3,2,3,5,3,4,4,2,2,4,3,4,3,2,4,4,4,3,2,3,4,2,3,4,3,4,2,4,4,4,3,4,3,2,4,3,4,4,3,4,4,2,3,2,2,3,2,2,4,4,3,2,4,4,3,3,4
"unassertive, unadventurous, silent, introverted and  unfriendly",1,3,3,2,3,1,3,3,2,2,5,2,3,3,2,5,4,3,4,3,1,1,4,2,4,4,3,3,3,3,5,2,3,3,3,5,2,3,3,3,1,5,3,4,3,1,5,3,2,3,5,2,2,4,4,1,2,3,3,2
"very responsible, very organized, very thorough, very hardworking and very self-disciplined",3,4,1,4,3,4,5,1,4,4,3,2,5,2,4,3,2,5,3,3,4,1,1,4,2,2,4,1,4,1,3,5,5,3,4,3,1,5,3,4,4,3,5,4,2,3,1,1,3,3,1,5,5,3,3,4,4,1,2,4
"very angry, very irritable, very anxious, very depressed and very emotionally unstable",1,2,4,1,2,3,3,2,1,2,5,5,1,5,3,3,1,1,5,3,1,5,5,1,1,3,1,4,1,1,3,1,2,5,3,4,5,2,5,4,1,5,1,1,3,1,5,1,5,1,1,2,2,5,3,1,1,5,5,3
"calm, unselfconscious, patient, happy and  easygoing",3,4,3,5,3,3,5,3,4,4,3,2,4,1,4,3,2,4,2,4,3,2,3,4,3,3,4,3,4,2,3,4,4,2,4,3,2,4,1,4,3,2,4,4,3,3,1,2,4,3,3,4,4,1,3,3,4,3,1,4
